Country,Year,Population
Burundi,1990,5529
Burundi,2018,11650
Comoros,1990,439
Comoros,2018,764
Djibouti,1990,547
Djibouti,2018,1063
Eritrea,1990,2011
Eritrea,2018,3167
Ethiopia,1990,46722
Ethiopia,2018,111152
Kenya,1990,22504
Kenya,2018,49716
Madagascar,1990,11876
Madagascar,2018,27137
Malawi,1990,9385
Malawi,2018,18283
Mauritius,1990,1082
Mauritius,2018,1290
Mayotte,1990,87
Mayotte,2018,269
Mozambique,1990,12982
Mozambique,2018,28592
Réunion,1990,647
Réunion,2018,856
Rwanda,1990,7292
Rwanda,2018,12344
Seychelles,1990,74
Seychelles,2018,114
Somalia,1990,7094
Somalia,2018,15175
South Sudan,1990,4690
South Sudan,2018,9960
Uganda,1990,17287
Uganda,2018,40869
United Republic of Tanzania,1990,25775
United Republic of Tanzania,2018,56576
Zambia,1990,7688
Zambia,2018,17707
Zimbabwe,1990,10002
Zimbabwe,2018,14920
Middle Africa,1990,71285
Middle Africa,2018,173940
Angola,1990,11430
Angola,2018,30764
Cameroon,1990,11164
Cameroon,2018,24458
Central African Republic,1990,2827
Central African Republic,2018,4828
Chad,1990,5916
Chad,2018,15878
Congo,1990,2347
Congo,2018,5416
Democratic Republic of the Congo,1990,36043
Democratic Republic of the Congo,2018,88613
Equatorial Guinea,1990,465
Equatorial Guinea,2018,1589
Gabon,1990,970
Gabon,2018,2185
Sao Tome and Principe,1990,121
Sao Tome and Principe,2018,209
Northern Africa,1990,141302
Northern Africa,2018,245039
Algeria,1990,25069
Algeria,2018,42106
Egypt,1990,57468
Egypt,2018,104717
Libya,1990,4395
Libya,2018,6795
Morocco,1990,24157
Morocco,2018,35652
Sudan,1990,21799
Sudan,2018,43539
Tunisia,1990,8238
Tunisia,2018,11710
Western Sahara,1990,177
Western Sahara,2018,519
Southern Africa,1990,45480
Southern Africa,2018,66288
Botswana,1990,1288
Botswana,2018,2283
Eswatini,1990,855
Eswatini,2018,1164
Lesotho,1990,1793
Lesotho,2018,2170
Namibia,1990,1345
Namibia,2018,2541
South Africa,1990,40199
South Africa,2018,58130
Western Africa,1990,183216
Western Africa,2018,392213
Benin,1990,5200
Benin,2018,12212
Burkina Faso,1990,9039
Burkina Faso,2018,20172
Cabo Verde,1990,371
Cabo Verde,2018,513
Côte d'Ivoire,1990,11948
Côte d'Ivoire,2018,27100
Gambia,1990,1032
Gambia,2018,2371
Ghana,1990,15197
Ghana,2018,30327
Guinea,1990,6296
