year,total_exports
1990-01-01,93230.05959999996
1991-01-01,101266.6844
1992-01-01,98525.89920000001
1993-01-01,91764.6216
1994-01-01,93313.19399999997
1995-01-01,87317.45820000001
1996-01-01,103302.59599999999
1997-01-01,99861.19899999998
1998-01-01,108892.21310000001
1999-01-01,131383.79670000004
2000-01-01,113766.97269999998
2001-01-01,107899.1264
2002-01-01,122615.81190000003
2003-01-01,105506.80969999998
2004-01-01,116065.74600000001
2005-01-01,111170.63630000003
2006-01-01,135390.6429
2007-01-01,121842.45980000003
2008-01-01,134799.69430000003
2009-01-01,127973.8147
2010-01-01,142017.53760000004
2011-01-01,142475.38770000002
2012-01-01,151284.51209999996
2013-01-01,154095.31480000002
2014-01-01,149753.04210000002
2015-01-01,153987.64489999998
2016-01-01,159915.54339999997
2017-01-01,158074.18419999996
2018-01-01,170936.73769999997
