exports,year,export,rank
Brazil,1990-01-01,16935.7876003,1.0
Colombia,1990-01-01,13943.8700004,2.0
Côte d'Ivoire,1990-01-01,4282.8659998,4.0
Indonesia,1990-01-01,6903.2269994,3.0
Mexico,1990-01-01,3683.1040021,5.0
Brazil,1991-01-01,21182.7614023,1.0
Colombia,1991-01-01,12599.1849983,2.0
Côte d'Ivoire,1991-01-01,3804.734001,4.0
Indonesia,1991-01-01,6170.7960001,3.0
Mexico,1991-01-01,3530.8200019,5.0
Brazil,1992-01-01,18790.7192021,1.0
Colombia,1992-01-01,16564.3700008,2.0
Côte d'Ivoire,1992-01-01,4546.3679999,4.0
Indonesia,1992-01-01,4603.6959999,3.0
Mexico,1992-01-01,3332.0409999,5.0
Brazil,1993-01-01,17837.7479992,1.0
Colombia,1993-01-01,13568.3620035,2.0
Côte d'Ivoire,1993-01-01,4033.1070005,4.0
Guatemala,1993-01-01,3750.6870001,5.0
Indonesia,1993-01-01,5662.0940006,3.0
Brazil,1994-01-01,17273.1476003,1.0
Colombia,1994-01-01,11768.0890004,2.0
Guatemala,1994-01-01,3274.0689998,5.0
Indonesia,1994-01-01,4604.6299989,3.0
Uganda,1994-01-01,3368.765,4.0
Brazil,1995-01-01,14468.4322014,1.0
Colombia,1995-01-01,9814.1969996,2.0
Guatemala,1995-01-01,3700.8720009,4.0
Indonesia,1995-01-01,3946.5850006,3.0
Mexico,1995-01-01,3626.4919986,5.0
Brazil,1996-01-01,15250.6090018,1.0
Colombia,1996-01-01,10588.4309984,2.0
Indonesia,1996-01-01,6440.28,3.0
Mexico,1996-01-01,4633.4970009,5.0
Uganda,1996-01-01,4654.503,4.0
Brazil,1997-01-01,16801.2600051,1.0
Colombia,1997-01-01,10918.8630016,2.0
Côte d'Ivoire,1997-01-01,4712.9820006,5.0
Indonesia,1997-01-01,5755.0779999,4.0
Viet Nam,1997-01-01,6177.8340002,3.0
Brazil,1998-01-01,18144.3883339,1.0
Colombia,1998-01-01,11259.9289995,2.0
Côte d'Ivoire,1998-01-01,4365.288002,5.0
Indonesia,1998-01-01,5598.0319992,4.0
Viet Nam,1998-01-01,6466.7120002,3.0
Brazil,1999-01-01,23149.2038037,1.0
Colombia,1999-01-01,9995.3100014,2.0
Guatemala,1999-01-01,4680.601,5.0
Indonesia,1999-01-01,5115.0269995,4.0
Viet Nam,1999-01-01,7727.0130001,3.0
Brazil,2000-01-01,18016.2606406,1.0
Colombia,2000-01-01,9176.6609102,3.0
Côte d'Ivoire,2000-01-01,6109.6138,4.0
Indonesia,2000-01-01,5357.59886,5.0
Viet Nam,2000-01-01,11618.3758499,2.0
Brazil,2001-01-01,23172.486512,1.0
Colombia,2001-01-01,9943.6300006,3.0
Guatemala,2001-01-01,4110.378,5.0
Indonesia,2001-01-01,5243.4050012,4.0
Viet Nam,2001-01-01,14106.4430005,2.0
Brazil,2002-01-01,27981.8389351,1.0
Colombia,2002-01-01,10273.4249979,3.0
India,2002-01-01,3550.1299989,5.0
Indonesia,2002-01-01,4285.830001,4.0
Viet Nam,2002-01-01,11771.3669994,2.0
Brazil,2003-01-01,25710.8116628,1.0
Colombia,2003-01-01,10244.3919993,3.0
Guatemala,2003-01-01,3820.7999997,5.0
Indonesia,2003-01-01,4794.7200006,4.0
Viet Nam,2003-01-01,11631.1110003,2.0
Brazil,2004-01-01,26478.4750901,1.0
Colombia,2004-01-01,10194.3150011,3.0
India,2004-01-01,3647.3365209,5.0
Indonesia,2004-01-01,5455.5989996,4.0
Viet Nam,2004-01-01,14858.9909998,2.0
Brazil,2005-01-01,26198.0554467,1.0
