months,ICO composite indicator,Colombian Milds,Other Milds,Brazilian Naturals,Robustas
01/1990,1.3852097130242824,0.4264900662251656,0.29293598233995577,0.16799116997792485,-0.2931567328918325
02/1990,1.4792494481236202,0.5417218543046354,0.37395143487858706,0.2335540838852097,-0.3741721854304636
03/1990,1.661147902869757,0.6178807947019871,0.43002207505518775,0.2410596026490064,-0.43024282560706406
04/1990,1.6631346578366446,0.5838852097130243,0.4275938189845472,0.26732891832229577,-0.42803532008830025
05/1990,1.618101545253863,0.5704194260485649,0.4342163355408386,0.28719646799117005,-0.43443708609271514
06/1990,1.5432671081677702,0.5761589403973513,0.42472406181015465,0.2876379690949227,-0.42472406181015443
07/1990,1.509050772626931,0.531788079470199,0.4037527593818988,0.23355408388520993,-0.40375275938189814
08/1990,1.6357615894039732,0.6445916114790289,0.44878587196468,0.35651214128035313,-0.44856512141280325
09/1990,1.6677704194260483,0.588520971302428,0.4379690949227373,0.3675496688741722,-0.4381898454746136
10/1990,1.6311258278145695,0.514569536423841,0.3905077262693155,0.2624724061810153,-0.3902869757174394
11/1990,1.547461368653421,0.4918322295805744,0.32273730684326773,0.16247240618101566,-0.3227373068432666
12/1990,1.607726269315673,0.5348785871964681,0.360927152317881,0.1620309050772628,-0.3613686534216334
01/1991,1.531567328918322,0.4894039735099336,0.36534216335540837,0.13708609271523198,-0.36534216335540837
02/1991,1.5573951434878586,0.522295805739514,0.41192052980132443,0.19514348785871993,-0.4123620309050773
03/1991,1.5997792494481236,0.593598233995585,0.46556291390728455,0.2507726269315673,-0.4657836644591613
04/1991,1.5772626931567328,0.5699779249448123,0.4527593818984543,0.22362030905077246,-0.4529801324503311
05/1991,1.4894039735099336,0.5306843267108168,0.4505518763796912,0.17858719646799126,-0.45055187637969074
06/1991,1.4476821192052978,0.5430463576158941,0.44591611479028703,0.15143487858719662,-0.4459161147902868
07/1991,1.4196467991169976,0.523399558498896,0.4178807947019867,0.1088300220750551,-0.4178807947019867
08/1991,1.398233995584989,0.5463576158940395,0.40684326710816743,0.10618101545253866,-0.4070640176600442
09/1991,1.4759381898454744,0.5538631346578369,0.44591611479028725,0.181456953642384,-0.44591611479028703
10/1991,1.3869757174392934,0.442604856512141,0.37395143487858706,0.06799116997792498,-0.3741721854304634
11/1991,1.4194260485651211,0.40022075055187645,0.306843267108168,0.038189845474613904,-0.30684326710816756
12/1991,1.3922737306843267,0.3671081677704193,0.271081677704194,-0.02052980132450344,-0.27108167770419445
01/1992,1.3492273730684323,0.3814569536423844,0.27130242825607076,0.02008830022075081,-0.27130242825607054
02/1992,1.2253863134657834,0.35849889624724063,0.2856512141280354,0.05607064017660068,-0.2856512141280352
03/1992,1.2467991169977923,0.3794701986754967,0.30662251655629147,0.06887417218543046,-0.30662251655629114
04/1992,1.184105960264901,0.3512141280353196,0.271081677704194,0.028697571743929062,-0.27108167770419445
05/1992,1.0876379690949227,0.3456953642384104,0.2558498896247239,0.04061810154525358,-0.2558498896247241
06/1992,1.0624724061810151,0.35253863134657837,0.2419426048565123,0.02097130242825629,-0.24194260485651187
07/1992,1.075055187637969,0.304635761589404,0.20971302428256067,-0.0037527593818984517,-0.2099337748344372
08/1992,1.0130242825607063,0.23399558498896256,0.15540838852097139,0.011258278145695355,-0.15540838852097127
09/1992,1.0399558498896246,0.20022075055187627,0.13509933774834426,0.051214128035319995,-0.1353200883002208
10/1992,1.1673289183222957,0.2624724061810153,0.1918322295805739,0.1492273730684328,-0.1918322295805741
11/1992,1.2690949227373067,0.31412803532008815,0.21677704194260494,0.1578366445916115,-0.21677704194260472
12/1992,1.41280353200883,0.38675496688741706,0.2911699779249448,0.2293598233995584,-0.2911699779249448
01/1993,1.2834437086092714,0.2973509933774834,0.2483443708609272,0.19845474613686553,-0.24812362030905066
02/1993,1.2653421633554085,0.3339955849889622,0.22803532008830008,0.19911699779249425,-0.2280353200883003
03/1993,1.208830022075055,0.2717439293598234,0.19558498896247234,0.17306843267108185,-0.19558498896247234
04/1993,1.1342163355408388,0.1852097130242829,0.14326710816777033,0.07814569536423832,-0.14348785871964675
05/1993,1.196026490066225,0.29072847682119196,0.17660044150110377,0.06799116997792498,-0.17682119205298008
06/1993,1.2039735099337747,0.2999999999999996,0.1757174392935983,0.025607064017659997,-0.17593818984547482
07/1993,1.3379690949227372,0.3485651214128036,0.24724061810154518,0.11368653421633557,-0.2474613686534215
08/1993,1.4942604856512138,0.3640176600441505,0.20375275938189863,0.12273730684326734,-0.20375275938189819
09/1993,1.581456953642384,0.3298013245033111,0.20154525386313438,0.08697571743929378,-0.2017660044150109
10/1993,1.496247240618101,0.336423841059603,0.195584988962473,0.08543046357615935,-0.19558498896247212
11/1993,1.545916114790287,0.3428256070640179,0.189183222958057,0.09205298013245033,-0.18918322295805745
12/1993,1.5783664459161146,0.34944812362030886,0.21390728476821175,0.06644591611479034,-0.21390728476821175
01/1994,1.5269315673289183,0.3682119205298009,0.21589403973509924,0.04966887417218535,-0.21589403973509946
02/1994,1.5975717439293595,0.45629139072847713,0.2551876379690954,0.1715231788079472,-0.25540838852097103
03/1994,1.6801324503311257,0.3779249448123623,0.241721854304636,0.19006622516556315,-0.24172185430463577
04/1994,1.7922737306843264,0.36070640176600466,0.207064017660044,0.13134657836644603,-0.20684326710816747
05/1994,2.3933774834437083,0.5624724061810156,0.29713024282560685,0.21964679911699792,-0.29735099337748316
06/1994,2.823620309050772,0.528476821192053,0.3426048565121418,0.1880794701986761,-0.34282560706401766
07/1994,4.226048565121412,0.691169977924945,0.6059602649006619,0.44966887417218526,-0.6057395143487851
08/1994,4.00728476821192,0.6419426048565127,0.4174392935982336,0.23951434878587197,-0.41766004415010993
09/1994,4.4677704194260475,0.6430463576158951,0.43289183222958094,0.22825607064017728,-0.43289183222958005
10/1994,4.098013245033112,0.45099337748344404,0.3578366445916119,0.12295805739514432,-0.357836644591611
11/1994,3.7112582781456953,0.415894039735099,0.3264900662251651,0.10397350993377463,-0.3264900662251655
12/1994,3.292273730684326,0.5474613686534218,0.4282560706401761,0.23377483443708602,-0.4284768211920529
01/1995,3.3571743929359825,0.5551876379690941,0.4534216335540835,0.23686534216335486,-0.4534216335540844
02/1995,3.3607064017660044,0.5039735099337741,0.387417218543046,0.19492273730684273,-0.3874172185430469
03/1995,3.592273730684326,0.5081677704194263,0.36865342163355397,0.19315673289183222,-0.3686534216335535
04/1995,3.5229580573951433,0.45717439293598217,0.32693156732891815,0.15342163355408367,-0.3269315673289186
05/1995,3.4428256070640173,0.46843267108167774,0.3322295805739506,0.12715231788079473,-0.3324503311258278
06/1995,3.1271523178807943,0.6452538631346578,0.2832229580573955,0.0785871964679914,-0.28344370860927137
07/1995,2.929580573951435,0.5410596026490064,0.2858719646799113,0.1538631346578363,-0.2858719646799117
08/1995,3.1280353200882995,0.4748344370860931,0.2540838852097136,0.17306843267108185,-0.254304635761589
09/1995,2.7540838852097127,0.36931567328918335,0.21412803532008873,0.12141280353200878,-0.2143487858719646
10/1995,2.6494481236203087,0.2662251655629144,0.16004415011037532,0.15916114790287006,-0.1602649006622512
11/1995,2.6046357615894036,0.2450331125827816,0.16026490066225163,0.1620309050772626,-0.1602649006622512
12/1995,2.198013245033112,0.24061810154525398,0.14724061810154554,0.24039735099337767,-0.1474613686534214
01/1996,2.2147902869757172,0.4139072847682117,0.22781456953642376,0.600662251655629,-0.2282560706401764
02/1996,2.4392935982339954,0.5395143487858718,0.2999999999999998,0.7406181015452544,-0.3004415011037529
03/1996,2.3375275938189843,0.545474613686534,0.3300220750551879,0.7748344370860929,-0.3300220750551879
04/1996,2.36401766004415,0.6008830022075053,0.3622516556291391,0.5701986754966883,-0.36247240618101584
05/1996,2.4335540838852094,0.7134657836644593,0.4200883002207507,0.5412803532008827,-0.4203090507726266
06/1996,2.3353200883002208,0.6061810154525382,0.4342163355408384,0.43377483443708575,-0.43443708609271514
